scode,sname,trademarket,reportdate,frdate,fcdate,scdate,tcdate,radate,securitytypecode,trademarketcode
002210,飞马国际,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
300284,苏交科,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
600559,老白干酒,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
600769,祥龙电业,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
600681,百川能源,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
600293,三峡新材,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
600011,华能国际,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
300181,佐力药业,深交所创业板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002002
603933,睿能科技,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
300549,优德精密,深交所创业板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002002
300445,康斯特,深交所创业板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002002
603988,中电电机,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
002843,泰嘉股份,深交所中小板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002003
300378,鼎捷软件,深交所创业板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002002
000557,西部创业,深交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002001
300239,东宝生物,深交所创业板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002002
002547,春兴精工,深交所中小板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001002003
603002,宏昌电子,上交所主板,2018-06-30T00:00:00,2018-08-01T00:00:00,-,-,-,2018-08-01T00:00:00,058001001,069001001001
000812,陕西金叶,深交所主板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001002001
600505,西昌电力,上交所主板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001001001
600763,通策医疗,上交所主板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001001001
600301,ST南化,上交所风险警示板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001001003
600519,贵州茅台,上交所主板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001001001
000612,焦作万方,深交所主板,2018-06-30T00:00:00,2018-08-02T00:00:00,2018-08-29T00:00:00,-,-,2018-08-29T00:00:00,058001001,069001002001
000688,国城矿业,深交所主板,2018-06-30T00:00:00,2018-08-02T00:00:00,2018-07-21T00:00:00,-,-,2018-07-21T00:00:00,058001001,069001002001
300690,双一科技,深交所创业板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001002002
300708,聚灿光电,深交所创业板,2018-06-30T00:00:00,2018-08-02T00:00:00,2018-08-30T00:00:00,-,-,2018-08-30T00:00:00,058001001,069001002002
603579,荣泰健康,上交所主板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001001001
